sub_region,total_articles_percentage_per_population
OCEANIA,7.45164283505032e-05
Channel Islands,3.57778198334595e-05
SOUTHERN EUROPE,2.4673142070717765e-05
WESTERN EUROPE,2.341427979476056e-05
CARIBBEAN,1.7846169602621875e-05
EASTERN EUROPE,1.3411051759333679e-05
SOUTHERN AFRICA,9.530527706069521e-06
CENTRAL AMERICA,9.52134445081255e-06
WESTERN ASIA,9.467924652934506e-06
MIDDLE AFRICA,7.417756045637495e-06
SOUTH AMERICA,7.087803014063767e-06
WESTERN AFRICA,5.723689299154782e-06
EASTERN AFRICA,5.653129048611502e-06
NORTHERN AMERICA,5.270765184694133e-06
NORTHERN AFRICA,3.7005431839440733e-06
CENTRAL ASIA,3.295090715048026e-06
SOUTHEAST ASIA,3.0815567163998207e-06
SOUTH ASIA,2.2515023147924566e-06
EAST ASIA,1.5169488567153924e-06
